TRANSMITTERID,Croc_No,Croc_Name,Sex,Max_TL,Mean_TL,Max_SVL,Mean_SVL,Class
15360,71,Ace,M,1906,1906,983,983,Resident
14199,125,Achillies,M,1253,1253,623,623,NA
14221,97,Adam Schoff,M,2644,2644,1333,1333,Resident
13893,4,Aima,F,2745,2745,1405,1405,Female
15358,68,Alec,M,2930,2930,1473,1473,Resident
3074,49,Amanda,F,2625,2625,1343,1343,Female
22198,155,Andrew,M,3530,3530,1770,1770,Nomadic
22175,163,Ari,M,2692,2692,1421,1421,NA
60258,19,Aristotle,M,3955,3955,2046,2046,Nomadic
14738,190,Ash,F,1060,1060,507,507,Female
15472,174,Auro,M,819,819,408,408,NA
14217,105,Aus Geo,M,3212,3212,1629,1629,Resident
12727,136,Ayla,F,2560,2560,1311,1311,Female
13255,129,Azog,M,1800,1800,915,915,NA
15474,173,Baby Bewely,M,824,824,405,405,NA
15347,86,Barry BP,M,2370,2370,1195,1195,Resident
14220,109,BBC Kensington,M,3207,3207,1610,1610,Resident
6019,176,Ben Gold,M,1943,1943,1006,1006,NA
11893,145,Betty Crocker,F,2930,2930,1463,1463,Female
22162,54,Big Dunc,M,4600,4555.125,2430,2391.5,Resident
14207,124,Billy,M,1433,1433,718,718,NA
22186,135,Bonnie,F,2098,2098,1014,1014,Female
15462,160,Brooshell,F,842,842,410,410,Female
13883,32,Bucking Bronco,M,4165,4165,2120,2120,Resident
15341,87,Cabbage,F,1652,1652,826,826,Female
3087,65,Cadel Evans,M,3885,3885,1936,1936,NA
15363,70,Camo,M,3548,3548,1788,1788,Resident
22188,156,Candice,F,2495,2495,1296,1296,Female
13257,147,CC Croc,M,2620,2620,1339,1339,Resident
3093,36,Cecil,M,4270,4270,2280,2280,Resident
22173,152,Chandler,M,4181,4181,2200,2200,Nomadic
14196,106,Charlie,M,2538,2380,1322,1240,Resident
22185,134,Chayse,M,3561,3561,1825,1825,Nomadic
13253,121,Chris,M,3060,3060,1570,1570,Resident
22168,139,Clive,M,3109,3035.666667,1549,1514,Nomadic
1549,159,Coda,M,563,563,272,272,NA
15335,90,Cowboy,M,2994,2994,1490,1490,Resident
6011,168,Craig Franklin,M,2758,2758,1407,1407,Resident
14206,95,Croccie,M,3448,3421.5,1770,1749,Resident
14198,115,Daisy,F,2200,2200,1113,1113,Female
13889,30,Danny,M,4035,3820.5,2078,1947.5,Resident
6000,179,Danny Boy,M,2655,2655,1330,1330,Resident
15348,73,Danny P,M,2992,2992,1499,1499,Resident
6022,171,Dave'O',M,2800,2800,1440,1440,NA
13865,15,David Claudie,M,1943,1943,988,988,NA
14214,169,David Prior,M,3655,3655,1899,1899,Nomadic
22192,137,David Zaslov,M,3226,3226,1655,1655,Resident
14195,114,Dick Smith,M,3627,3439,1848,1771.666667,Resident
6014,181,Dinnage,M,3645,3645,2040,2040,NA
11899,146,Discovery,F,2755,2755,1418,1418,Female
6013,180,Doom,M,3980,3980,2262,2262,Resident
3080,51,Dr Chris B,M,3285,3285,1688,1688,Resident
22182,47,Drew,M,4432,4383.2,2285,2262.25,Resident
15459,175,Elaine,F,875,875,427,427,Female
14197,7,Eligh,M,2954,2448.333333,1480,1219.666667,Resident
6015,122,Ella,F,2960,2950,1540,1525,Female
12725,128,Elsie,F,1362,1362,694,694,Female
15340,83,Emily,F,1828,1828,888,888,Female
15354,74,Enzo,M,2390,2258.25,1293,1199.5,Resident
14204,96,Erin,F,2655,2655,1402,1402,Female
22167,138,Fifi,F,1130,1130,560,560,Female
6020,170,Fiona,F,2910,2910,1450,1450,Female
13869,11,Gecko,M,2344,2237,1192,1137,NA
22195,131,Gen N,M,3480,3480,1710,1710,Nomadic
11897,157,George,M,4640,4640,2510,2510,Resident
14209,111,Gertrude,F,1740,1740,890,890,Female
15906,132,Gladys,M,1217,1217,597,597,Resident
14224,116,Gogo,F,2465,2465,1300,1300,Female
13884,22,Greg Coxeter,M,3150,3150,1737,1737,Resident
13880,25,Greg Norman,M,4298,3953.666667,2147,1980.666667,Nomadic
3073,42,Gregory,M,3060,3060,1635,1635,Resident
13878,29,Hamish,M,3939,3914.5,2019,1958.5,Resident
15361,67,Harley,M,2871,2797,1488,1439,Resident
14219,98,Harrison,M,1969,1969,982,982,NA
15356,75,Hassa,F,3110,3110,1642,1642,Female
14739,184,Hazel,F,892,892,435,435,Female
14215,113,Heath,M,1465,1465,715,715,Resident
3067,37,Heather,F,2733,2682,1350,1344,Female
14745,172,Howie,M,1030,1030,509,509,Resident
22174,142,Hunter,M,3086,3086,1560,1560,Resident
60253,20,Izzy Squizzy,F,2261,2261,1218,1218,Female
13894,5,Jackasaraus,M,4120,4120,2141,2141,NA
6004,188,Jamie,F,1710,1710,850,850,Female
14210,108,Jarrah,M,2817,2717.5,1449,1394.5,Resident
14223,103,Jenny,F,2395,2395,1248,1248,Female
12716,151,Jimmy Fallon,M,4025,4025,2035,2035,Resident
12728,130,JK,F,2930,2930,1510,1510,Female
14212,107,Joel,M,2248,2248,1134,1134,Resident
15351,81,Joey Johns,M,1380,1380,680,680,NA
22171,149,John,M,1251,1251,635,635,NA
3083,52,Johnson,M,2750,2750,1387,1387,Resident
60261,17,Joy,F,2899,2899,1510,1510,Female
14213,102,Juergen,M,4687,4670.666667,2440,2433.666667,Resident
14740,185,June,F,751,751,361,361,Female
13892,9,Justin,M,2779,2779,1401,1401,NA
13870,6,Kaitlyn,F,2798,2798,1437,1437,Female
60255,28,Kate C,F,2392,2392,1160,1160,Female
22184,48,Kaya,F,3157,3152,1685,1634.5,Female
3076,46,Kelly,F,2586,2586,1385,1385,Female
22176,133,Kelsey,F,2205,2205,1068,1068,Female
14744,189,Kenj,M,994,994,489,489,NA
15362,72,Kiki,F,2681,2681,1250,1250,Female
13254,123,Kirrhi,M,3580,3580,1860,1860,Nomadic
6008,165,Kris,M,1804,1804,882,882,Resident
60254,21,Larry,M,2431,2431,1238,1238,Resident
12726,150,Larry Jr,M,1399,1399,694,694,NA
60252,26,Leanne,F,3029,3029,1527,1527,Female
14742,183,Lennie,M,937,937,464,464,NA
15334,94,Leonard,M,2817,2817,1418,1418,Resident
15466,187,Lil Dunchess,F,987,987,490,490,Female
12720,127,Lily,F,1417,1417,698,698,Female
15353,79,Lockie,M,1180,1180,590,590,NA
11900,148,Loki,M,2757,2757,1405,1405,NA
6006,182,Lou,M,2865,2865,1458,1458,NA
22190,153,Luke Reavley,M,3170,3170,1796,1796,NA
22163,144,Madison,F,2713,2713,1380,1380,Female
22193,3,Mal Brough,M,3382,2929,1754,1506,Resident
15346,76,Marco,M,2422,2422,1209,1209,Resident
6018,191,Mardi,F,2060,2060,1045,1045,Female
3079,53,Mariana,F,2640,2640,1310,1310,Female
3082,39,Marion,F,3000,3000,1565,1565,Female
13864,34,Mark,M,3108,3108,1535,1535,NA
3077,44,Matt,M,2110,2110,1055,1055,Resident
15355,80,Maude,F,1280,1280,660,660,Female
6001,166,Mick Foley,M,2955,2955,1515,1515,Resident
3081,50,Mitch,M,4286,4286,2144,2144,Resident
14202,110,Morag,F,2110,2110,1110,1110,Female
3086,43,Morgan-Leigh,F,2948,2948,1490,1490,Female
15456,158,Natalia,F,1692,1692,855,855,Female
14216,112,Nate,M,3631,3631,1998,1998,NA
12723,162,Nick,M,2746,2746,1404,1404,Nomadic
12729,18,Nicky One Eye,M,3888,3780.333333,2040,1958.5,Resident
6023,178,Nida,F,3107,3107,1641,1641,Female
11890,140,Nigel,M,2548,2548,1340,1340,Resident
14201,120,Noah,M,3310,3057.5,1670,1536.5,Resident
13885,24,Oriankuti,M,3233,3233,1655,1655,Resident
15342,84,Ozemite,M,3300,3300,1660,1660,Resident
13252,119,OzEsauce,M,3464,3464,1780,1780,Resident
15345,93,Pat,F,2690,2645.75,1379,1358.5,Female
22165,143,Peita K,F,2165,2165,2165,2165,Female
14736,186,Penny,M,1210,1210,620,620,NA
13879,31,Peta,F,2912,2912,1489,1489,Female
60251,27,Peter Korotaev,M,2213,2213,1118,1118,NA
13886,14,Peter Overton,M,3580,3580,1855,1855,NA
14205,99,Pip,F,2430,2430,1217,1217,Female
15357,82,Prue,F,1285,1285,620,620,Female
14222,117,Rachel,F,2926,2926,1516,1516,Female
60259,23,Rahni,F,2495,2295.75,1270,1153.75,Female
13888,13,Raine,F,2615,2615,1352,1352,Female
15359,69,Rebecca,F,2699,2699,1348,1348,Female
15339,88,Reeba,F,2174,2174,1112,1112,Female
60260,16,RJ,M,2564,2564,1386,1386,NA
13871,1,Robert,M,3570,3570,1750,1750,Resident
3089,66,Ross,M,3395,3395,1754,1754,Nomadic
22172,45,Ryan,M,4560,4532.5,2390,2390,Resident
15336,92,Sean Roach,M,4020,4020,2062,2062,Nomadic
15344,85,Shadow,M,3665,3665,1885,1885,Nomadic
15352,78,Shaza,F,1460,1460,710,710,Female
15338,91,Sheridan,F,2514,2514,1310,1310,Female
15350,77,Sophie,F,2475,2475,1290,1290,Female
15337,104,Stanley,M,3010,2915,1552,1479,Nomadic
22180,164,Sudan,M,3121,3121,1596,1596,Resident
3088,40,Suer,F,2020,2020,1006,1006,Female
13890,12,Taepithiggi,M,4287,4287,2140,2140,Resident
60262,10,Tarlisha,F,3266,3232.8,1653,1643.75,Female
22169,161,TBA,M,3540,3540,1805,1805,Resident
6010,167,Terri,F,1501,1501,746,746,Female
3084,41,Tide,M,1918,1918,1006,1006,NA
13250,118,Tiny Tim,M,3665,3665,1900,1900,Nomadic
6005,177,Tobi,F,2753,2753,1401,1401,Female
14211,101,Toby,M,3123,3123,1692,1692,NA
3070,55,TRANS1,F,1655,1655,784,784,Female
3094,64,TRANS10,F,1900,1900,960,960,Female
3068,56,TRANS2,F,1300,1300,665,665,Female
3071,57,TRANS3,M,1530,1530,780,780,NA
3072,58,TRANS4,F,1280,1280,640,640,Female
3069,59,TRANS5,F,1680,1680,850,850,Female
13868,60,TRANS6,M,1000,1000,500,500,NA
3091,61,TRANS7,M,1370,1370,665,665,NA
3066,62,TRANS8,F,1730,1730,874,874,Female
13867,63,TRANS9,M,1270,1270,637,637,NA
3095,38,Trent,M,1890,1890,961,961,NA
60256,33,Troy,M,2417,2417,1210,1210,NA
12717,2,Ulysses,M,4329,4196.666667,2260,2151.666667,Resident
22170,141,Waldo,M,3721,3721,1868,1868,NA
