,Alice Creek,Batavia 1,Batavia 2,Batavia 3,Bullshark camp,Chicane 1,Chicane 2,Chicane 3,Chicane 4,Chicane upper,Cloughs landing,Cloughs landing downstream,Cloughs upstream,Coolibah,Coolibah 2,Coolibah upstream,Coolibah waterpump,Cullen point,Cullen point N,Cullen point S,Dalhunty left,Dalhunty mouth,Dalhunty twin creeks,DUC1,DUC2,DUC2 2,Ducie 1,Ducie 2,Ducie 3,Ducie half way upper,Ducie Mouth AR,Ducie mouth downriver,Ducie mouth upstream,Ducie to PM AR,Gibsons waterhole,Hudson,Hudson junction,Hudson junction 2,Hudson left,Hudson mouth,Hudson to Tentpole,Hudson to Tentpole 2,Island downstream,Island downstream 2,Island haulout,Island haulout 2,Island midstream,Island midstream 2,Island midstream 3,Jabaru,Jabaru midstream,Jabaru midstream 2,Jabaru upstream 2,Jackson AR,Janie Creek AR,Jardines landing,Jut out downstream,Jut out downstream 2,Jut out midstream,Jut out midstream2,Jut out upstream,Kerr northwest AR,Kerr southeast AR,Ling creek,Ling creek 3,Ling creek downstream,Ling creek midstream,Ling creek upstream,Moreton campground,Namaleeda creek,Namaleeda downstream,Namaleeda upstream,Nimrod creek,No Name creek,Old shack,Old shack 2,Overhang,Pennefather AR,PM Cullen AR,PM Ducie Namaleeta AR,PM Mouth North AR,PM to Jaine AR,PM to Skarden,PM Wenlock AR,PM1,PM2,Processing plant,Processing plant 2,Riflebird bend,Riflebird bend downstream,Riflebird creek,Riflebird mid,Riflebird upstream,Rocky hole,Sandfly creek,Sandfly creek 1,Sandy bend,Sawfish,Sawfish new,Sawfish new 2,Skardon AR,Skardon metro,Skardon river,South Alice,Speartooth 1,Speartooth 2,Speartooth 3,Stones downstream,Stones far downstream,Stones upstream,Stones upstream 2,Tentpole creek,Tentpole mid,Tentpole mouth,Tentpole mouth 1,Tentpole mouth 2,Tentpole mouth 3,Tentpole upstream 1,Tentpole upstream 2,Top of islands,TPDSTWNMOR,TPMTNEW1,TPTWIN,TPTWIN2,TPUPP,Wenlock mouth A,Wenlock mouth B,Wenlock mouth B2,Wenlock Mouth B3,Wenlock tentpole mouth,WENMTH2M,WENMTM2M B,WNM,WNM2,WNM3,WNTH,Woodfords waterhole,WTTPDS
Alice Creek,0,69.29991334,69.15849199,69.7413347,138.8027704,114.9665222,118.353528,117.0635785,120.0677416,123.313326,75.55676759,75.55676759,76.80529573,135.4642928,135.4642928,137.8785063,135.4642928,52.18204179,52.18204179,52.42346315,25.84751801,16.43502884,22.23624817,28.76883835,18.87350647,22.84335495,10.86101731,11.10243866,10.66101731,18.90782105,37.17422074,32.92152955,31.34873734,37.17422074,128.573124,89.37047609,89.41189745,89.41189745,89.65331881,89.67047609,84.61067812,84.99352083,89.95331881,90.23616152,97.48296526,97.38296526,93.74743136,93.64743136,93.74743136,146.5424674,146.501046,146.0596247,146.501046,92.58590899,67.86559877,22.52914139,102.2841846,101.9427632,103.6569768,103.6569768,105.5126117,73.48103166,71.7668181,114.0179941,99.72144289,110.2238816,112.9280446,114.5008368,217.0914139,46.99087297,47.55655839,48.2394011,147.2495742,12.96518036,120.0677416,117.2464212,105.8540331,97.729769,52.04062043,45.49381669,49.91930009,53.954834,54.19625535,49.99503602,47.7666089,47.40092347,129.7630735,129.7630735,126.7003318,125.993225,125.993225,126.6003318,128.4145453,140.1755626,110.4238816,110.4238816,141.8069335,144.9696752,144.5868325,145.4110965,82.24204897,89.24032457,82.24204897,0,88.66336931,91.99179644,82.07220049,134.8400287,134.3743433,135.1814501,135.0814501,83.17930727,89.81189745,83.42072862,82.8550432,82.23077913,82.99646456,92.56753237,93.33321779,99.72144289,82.17220049,82.7550432,85.90062761,85.25209947,99.37585848,52.50924958,51.8021428,51.8021428,57.83473298,83.80357134,52.32640687,53.37493501,60.33889604,60.72173875,61.00458146,85.70062761,138.3956636,77.93666658
Batavia 1,69.29991334,0,0.482842712,0.665685425,69.74722215,45.66244584,49.13229432,47.75950212,50.84650788,54.00924958,6.632590181,6.632590181,7.963961031,65.99453096,65.99453096,68.65727266,65.99453096,36.14284989,36.14284989,35.96000718,61.39453096,53.98620485,57.86610383,40.36538957,50.67493501,46.29087297,80.45798693,80.69940828,80.0923015,88.42194796,32.97005769,36.27127702,37.61980515,32.97005769,59.26904756,20.36345597,20.40487732,20.40487732,20.64629868,20.74629868,15.68650071,16.06934342,21.02914139,21.22914139,28.51025971,28.41025971,24.94041123,24.84041123,24.94041123,77.48691911,77.52834047,77.0040764,77.52834047,78.0295598,51.77787873,92.12611101,33.31147904,32.88721497,34.60142853,34.60142853,36.29137803,59.25605333,57.70752519,44.7139177,30.66589463,41.16833329,43.70681092,45.27960313,148.7814501,33.28721497,34.84284989,35.5256926,78.27686861,60.61168825,50.84650788,47.94234483,36.7156421,81.47636354,36.20142853,30.7901587,36.19137803,38.70559159,40.21980515,30.2002092,22.46051224,24.19188309,60.37615434,60.37615434,57.39625535,56.68914857,56.68914857,57.21341264,59.0276262,71.12001436,41.451176,41.451176,72.66854249,75.91412691,75.53128419,76.35554826,67.85138521,74.93250353,67.85138521,69.63128419,19.65634919,22.9019336,12.98233765,65.37026689,64.98742418,65.79453096,65.61168825,14.33797257,20.6391919,14.49655121,14.09655121,13.38944443,14.23797257,23.56051224,24.32619767,30.66589463,13.08233765,13.9137085,16.89360749,16.41076477,30.20315293,16.04507935,16.75218613,16.75218613,10.96812409,14.87939392,16.22792206,15.34507935,8.463961031,8.988225099,8.705382387,16.69360749,68.92590181,9.012489168
Batavia 2,69.15849199,0.482842712,0,0.807106781,69.09869401,45.17960313,48.64945161,47.35950212,50.36366517,53.60924958,6.066904756,6.066904756,7.232590181,65.59453096,65.59453096,68.09158723,65.59453096,36.91269837,36.91269837,36.81269837,61.50163774,53.76194078,58.05605333,40.63818177,50.69919908,46.64650788,80.39940828,80.72367235,80.19940828,88.36336931,33.07716447,36.54406922,37.89259736,33.07716447,58.78620485,19.63208512,19.67350647,19.67350647,19.91492783,20.01492783,14.95512986,15.33797257,20.29777054,20.49777054,28.027417,27.927417,24.3747258,24.2747258,24.3747258,76.58986284,76.54844148,76.10702013,76.54844148,78.46803743,52.79625535,92.15037508,32.91147904,32.48721497,34.28427125,34.28427125,35.97422074,60.19158723,58.14600282,44.23107499,30.34873734,40.76833329,43.30681092,44.7139177,147.6358657,33.64284989,34.94995667,35.63279938,77.29696962,60.38742418,50.36366517,47.54234483,36.3156421,82.49474016,37.13696244,30.98010819,36.62985566,39.6411255,40.7411255,30.55584412,22.73330445,24.63036072,59.97615434,59.97615434,56.99625535,56.28914857,56.28914857,56.81341264,58.6276262,70.38864351,40.96833329,40.96833329,71.77148622,75.01707063,74.63422792,75.45849199,68.28986284,75.12245302,68.28986284,69.57270555,19.09066376,22.33624817,12.41665222,64.88742418,64.58742418,65.31168825,65.21168825,13.60660172,20.07350647,13.84802307,13.36518036,12.65807358,13.42375901,22.9119841,23.67766953,30.34873734,12.51665222,13.18233765,16.24507935,15.67939392,29.96883835,16.23502884,17.02497834,17.02497834,11.07523087,14.14802307,16.33502884,15.28650071,8.653910524,9.095331881,8.895331881,15.96223664,68.60874452,8.281118318
Batavia 3,69.7413347,0.665685425,0.807106781,0,69.82712114,45.74234483,49.21219331,47.92224382,50.92640687,54.00630586,6.132590181,6.132590181,7.381118318,66.24011537,66.24011537,68.73717165,66.24011537,36.9156421,36.9156421,37.14701295,61.83595231,54.01341264,58.22468248,40.80681092,50.95067094,46.73229432,80.48519472,80.80945879,80.20235201,88.44915575,33.99137803,36.96122651,38.39259736,33.99137803,59.26610383,19.94629868,19.98772004,19.98772004,20.22914139,20.32914139,15.26934342,15.65218613,20.6119841,20.89482682,28.17594514,28.07594514,24.52325394,24.42325394,24.52325394,77.40113268,77.44255403,76.91828996,77.44255403,78.96803743,52.88204179,92.15331881,33.2256926,32.71858582,34.59848481,34.59848481,36.37127702,59.94600282,57.98326112,44.8766594,30.58010819,41.16538957,43.78670991,45.35950212,148.0329219,34.2256926,35.69848481,36.13279938,78.19108217,60.97026689,50.92640687,48.02224382,36.71269837,82.5805266,37.05706345,31.48010819,36.7156421,39.56122651,40.5783838,30.97300141,23.31614716,25.04751801,60.37321061,60.37321061,57.39331163,56.68620485,56.68620485,57.21046891,59.02468248,71.19991334,41.36538957,41.36538957,72.66559877,75.82834047,75.44549776,76.35260454,68.62417741,75.53961031,68.62417741,69.82417741,19.32203461,22.56761902,12.64802307,65.6158513,65.23300859,65.95727266,65.85727266,13.83797257,20.1391919,14.16223664,13.5137085,12.88944443,13.65512986,22.97766953,23.74335495,30.58010819,12.66518036,13.4137085,16.4764502,15.91076477,29.5374675,16.98355698,17.60782105,17.60782105,11.57523087,14.46223664,17.16639969,16.11787156,9.153910524,9.595331881,9.312489168,16.2764502,69.17148622,8.512489168
Bullshark camp,138.8027704,69.74722215,69.09869401,69.82712114,0,23.83624817,20.50782105,21.7391919,18.73502884,15.93797257,62.91463197,62.91463197,61.58326112,3.504163056,3.504163056,1.007106781,3.504163056,105.2314934,105.2314934,105.0486507,129.7375901,121.9978931,126.2920056,108.8741341,118.769466,114.7167748,148.3039897,148.6282538,148.1039897,156.3507935,101.8930158,104.945707,106.3770778,101.8930158,14.42375901,50.56366517,50.66366517,50.66366517,50.56366517,48.9666089,54.02640687,54.12640687,48.7666089,48.68376618,41.31980515,41.41980515,45.25533906,45.29676042,45.25533906,7.656854249,7.698275606,7.174011537,7.698275606,147.4495742,121.0322077,160.1377993,36.74284989,37.28427125,35.22863633,35.22863633,33.45584412,128.3446968,126.7961687,24.78477631,39.42274888,28.49604615,25.8747258,24.21909089,78.83422792,101.9616449,103.185909,104.0344371,8.446803743,128.9547473,18.73502884,21.55634919,33.31442277,150.3993216,105.290072,98.96753237,104.5344371,107.7942351,108.9770778,98.87463915,91.05209947,92.78347032,9.205382387,9.205382387,12.83380951,13.11665222,13.11665222,12.87523087,10.63675324,1.289949494,28.29604615,28.29604615,2.755634919,6.001219331,5.618376618,6.5254834,136.6915006,143.6069335,136.6915006,137.8086579,50.05655839,52.53645738,56.64772721,4.128427125,4.511269837,3.787005769,3.887005769,56.64772721,66.11879503,55.47493501,56.88914857,57.57199128,56.74772721,69.2058008,69.97148622,39.42274888,59.38620485,56.98914857,62.2903679,61.72468248,75.76559877,84.71950929,85.17808794,85.17808794,79.55971132,54.75067094,84.90235201,83.85382387,77.13839098,77.66265504,77.37981233,53.1021428,7.649747468,60.6175757
Chicane 1,114.9665222,45.66244584,45.17960313,45.74234483,23.83624817,0,3.304163056,2.097056275,5.018376618,8.181118318,38.49848481,38.49848481,37.16711396,20.66345597,20.66345597,23.16051224,20.66345597,80.15260454,80.15260454,79.96976183,105.569971,97.58174593,101.9587012,84.20945879,94.43616152,90.30062761,123.8878426,124.0464212,123.6878426,132.017489,77.31118318,80.19818895,81.54671709,77.31118318,13.44091629,25.98183259,26.08183259,26.08183259,25.98183259,24.63330445,29.527417,29.627417,24.35046174,24.26761902,16.98650071,17.08650071,20.92203461,20.88061325,20.92203461,31.74163056,31.7002092,31.25878785,31.7002092,121.9564717,95.95331881,135.5559667,12.40954544,12.9509668,10.97817459,10.97817459,9.288225099,103.4314934,101.5515944,0.948528137,15.17228714,4.411269837,1.955634919,0.382842712,102.6704761,77.54549776,79.18397539,79.8668181,32.44873734,104.4557575,5.018376618,2.197056275,9.063961031,125.6518036,80.29402589,74.71707063,80.20113268,82.71534624,84.14671709,74.12712114,66.5531096,68.36732316,14.79655121,14.79655121,11.56812409,10.94386002,10.94386002,11.46812409,13.36518036,25.54041123,4.128427125,4.128427125,27.00609665,30.08599564,29.78599564,30.69310242,111.6954544,118.69373,111.6954544,113.2268253,25.4747258,28.32031022,32.14873734,20.0391919,19.65634919,20.38061325,20.28061325,32.06589463,41.2884343,31.05878785,32.22447327,32.9901587,32.16589463,44.12691193,44.89259736,15.17228714,34.80437226,32.32447327,37.70853532,37.14284989,50.85239533,60.38620485,61.17615434,61.17615434,54.97787873,30.33452378,60.56904756,59.60336213,52.72224382,53.24650788,53.04650788,28.60315293,23.59482682,36.03574311
Chicane 2,118.353528,49.13229432,48.64945161,49.21219331,20.50782105,3.304163056,0,1.289949494,1.772792206,5.018376618,42.29970414,42.29970414,41.051176,16.58944443,16.58944443,19.16934342,16.58944443,84.36803743,84.36803743,84.18519472,109.0398195,101.3829653,105.5942351,88.17636354,98.23738085,94.35037508,127.5233765,127.8476406,127.3233765,135.3216521,81.11240251,84.08225099,85.51362184,81.11240251,10.11248917,29.7002092,29.8002092,29.8002092,29.7002092,28.26883835,33.41147904,33.51147904,28.06883835,27.98599564,20.62203461,20.80487732,24.64041123,24.59898987,24.64041123,27.66761902,27.70904038,27.18477631,27.70904038,126.3375901,100.4172798,139.0258152,15.96223664,16.58650071,14.53086579,14.53086579,12.75807358,107.3983982,105.9327127,4.418376618,18.72497834,8.046803743,5.4254834,3.852691193,97.93372286,81.26387438,82.73666658,83.66803743,28.45756852,107.9256059,1.772792206,1.107106781,12.61665222,129.6187084,84.50945879,78.84966081,84.16803743,87.01362184,88.52783541,78.34255403,70.43717165,72.33422792,11.13675324,11.13675324,8.239696962,7.615432893,7.615432893,8.139696962,9.953910524,21.38355698,7.763961031,7.763961031,22.76639969,26.0119841,25.7119841,26.61909089,115.413831,122.4121067,115.413831,116.9452019,29.35878785,31.75584412,35.94995667,15.96518036,15.58233765,16.30660172,16.20660172,35.86711396,45.17249635,34.94284989,36.10853532,36.79137803,36.04995667,48.09381669,48.69381669,18.72497834,38.52274888,36.20853532,41.42691193,40.94406922,54.57077195,64.51879503,65.22590181,65.22590181,59.19331163,34.21858582,64.61879503,63.48742418,56.68914857,57.04772721,56.84772721,32.32152955,19.52081528,40.08549058
Chicane 3,117.0635785,47.75950212,47.35950212,47.92224382,21.7391919,2.097056275,1.289949494,0,2.921320344,6.084062043,39.93279938,39.93279938,38.68427125,18.15218613,18.15218613,20.56639969,18.15218613,82.08397539,82.08397539,81.90113268,107.0042856,99.09890322,103.3930158,85.72661608,95.95331881,91.8177849,125.4049999,125.7292639,125.2049999,133.4518036,78.82834047,81.79818895,83.14671709,78.82834047,11.26101731,27.74751801,27.93036072,27.93036072,27.83036072,26.39898987,31.45878785,31.64163056,26.11614716,26.03330445,18.83502884,18.93502884,22.77056275,22.72914139,22.77056275,29.31320344,29.27178208,28.83036072,29.27178208,124.053528,97.88468966,137.2388094,14.42375901,15.04802307,12.82670273,12.82670273,11.13675324,105.2800215,103.6486507,2.9627417,17.02081528,6.342640687,3.887005769,2.397056275,100.7734198,79.14549776,80.53544725,81.38397539,30.02031022,106.1386002,2.921320344,0.241421356,10.99533188,126.8375901,82.22539674,76.81412691,81.80113268,84.7295598,86.07808794,75.64427843,68.1531096,70.13300859,12.36812409,12.36812409,9.388225099,8.763961031,8.763961031,9.288225099,11.01959595,22.94629868,6.059797975,6.059797975,24.49482682,27.74041123,27.35756852,28.2646753,113.709668,120.4594155,113.709668,114.7439826,27.32325394,29.88599564,33.99726548,17.52792206,17.14507935,17.86934342,17.76934342,34.08010819,43.71686143,33.07300141,34.40437226,35.17005769,34.18010819,46.63818177,47.4038672,17.02081528,37.06711396,34.50437226,39.80559159,39.32274888,53.44650788,62.06904756,62.77615434,62.77615434,56.74356416,32.26589463,62.16904756,61.20336213,54.48792924,54.9293506,54.64650788,30.36883835,21.00071427,37.71858582
Chicane 4,120.0677416,50.84650788,50.36366517,50.92640687,18.73502884,5.018376618,1.772792206,2.921320344,0,2.997056275,43.351176,43.351176,42.26833329,14.89949494,14.89949494,17.47939392,14.89949494,86.24793642,86.24793642,86.23077913,111.0854039,103.4285497,107.6398195,89.89057711,100.2829653,96.06458864,130.0660172,130.3074385,129.8660172,137.8642928,82.90945879,85.96214998,87.31067812,82.90945879,8.091168825,30.63452378,30.81736649,30.81736649,30.63452378,29.56883835,34.54579362,34.72863633,29.28599564,29.28599564,21.8391919,21.9391919,25.85756852,25.81614716,25.85756852,26.14335495,26.1019336,25.66051224,26.1019336,127.9689609,102.0486507,141.5684558,17.26223664,17.88650071,15.83086579,15.83086579,14.22375901,109.5268253,107.5640836,5.966904756,20.02497834,9.595331881,6.891168825,5.401219331,97.60357134,83.14377336,84.45088014,84.71950929,26.85046174,110.3025612,0,2.821320344,13.99949494,131.6642928,86.38935778,80.31534624,86.04793642,88.72783541,90.07636354,79.89108217,72.15138521,73.79991334,9.281118318,9.281118318,6.301219331,5.59411255,5.59411255,6.201219331,7.849747468,19.85929291,9.312489168,9.312489168,21.24213562,24.48772004,24.10487732,25.09482682,117.7079436,124.7890619,117.7079436,119.1564717,30.49310242,32.8901587,36.91858582,14.27523087,13.89238816,14.61665222,14.51665222,37.16711396,46.47249635,36.16000718,37.3256926,38.00853532,37.26711396,49.4766594,50.15950212,20.02497834,39.9884343,37.4256926,42.72691193,42.24406922,56.03645738,65.90163774,66.60874452,66.60874452,60.82468248,35.3529004,66.08448045,65.03595231,58.32051942,58.84478349,58.64478349,33.53868684,17.83086579,41.13696244
Chicane upper,123.313326,54.00924958,53.60924958,54.00630586,15.93797257,8.181118318,5.018376618,6.084062043,2.997056275,0,46.67960313,46.67960313,45.26538957,12.51665222,12.51665222,14.93086579,12.51665222,89.16214998,89.16214998,89.22783541,113.5025612,105.9285497,110.0569768,93.05331881,102.7829653,99.06164492,132.317489,132.6417531,132.117489,140.2814501,85.90651506,88.95920626,90.39057711,85.90651506,5.376955262,34.12863633,34.22863633,34.22863633,34.12863633,32.89726548,37.87422074,38.05706345,32.61442277,32.61442277,25.08477631,25.26761902,29.02031022,29.06173157,29.02031022,23.59482682,23.63624817,23.1119841,23.63624817,131.1317026,105.2113924,143.9027704,20.59066376,21.21492783,19.15929291,19.15929291,17.38650071,112.3581961,110.6439826,9.046803743,23.27056275,12.59238816,10.05391052,8.481118318,94.68935778,86.14082964,87.61362184,88.29646456,24.38477631,112.9682466,3.079898987,5.901219331,17.16223664,134.6613491,89.30357134,83.64377336,88.87930727,91.72489168,93.07341982,83.13666658,75.47981233,77.29402589,6.649747468,6.649747468,3.504163056,2.879898987,2.879898987,3.404163056,5.218376618,17.22792206,12.30954544,12.30954544,18.61076477,21.9391919,21.55634919,22.54629868,120.7878426,127.9518036,120.7878426,121.573629,33.90437226,36.46711396,40.32985566,11.89238816,11.50954544,12.23380951,12.13380951,40.24701295,49.88376618,39.15706345,40.57127702,41.33696244,40.42985566,52.80508653,53.40508653,23.27056275,43.151176,40.67127702,46.05533906,45.48965363,59.3648845,69.06437944,69.77148622,69.77148622,63.73889604,38.68132752,69.33006486,68.28153673,61.40041841,62.00752519,61.72468248,36.78427125,15.44802307,44.38254685
