Year,Croc_Name,Sex,Total_Length
2011,Ace,M,1906
2014,Achillies,M,1253
2012,Adam Schoff,M,2644
2008,Aima,F,2745
2011,Alec,M,2930
2010,Amanda,F,2625
2017,Andrew,M,3530
2018,Ari,M,2692
2009,Aristotle ,M,3955
2019,Ash,?,1060
2018,Auro,M,819
2013,Aus Geo,M,3212
2015,Ayla,F,2560
2014,Azog,M,1800
2018,Baby Bewely,M,824
2011,Barry BP,M,2370
2013,BBC Kensington,M,3207
2019,Ben Gold,M,1943
2016,Betty Crocker,F,2930
2010,Big Dunc,M,4510
2014,Billy,M,1433
2015,Bonnie,F,2098
2017,Brooshell,F,842
2009,Bucking Bronco,M,4165
2012,Cabbage,F,1652
2011,Cadel Evans,M,3885
2011,Camo,M,3548
2017,Candice,F,2495
2016,CC Croc,M,2620
2010,Cecil,M,4270
2017,Chandler,M,4181
2013,Charlie,M,2222
2015,Chayse,M,3561
2014,Chris,M,3060
2015,Clive,M,2965
2017,Clive,M,3109
2017,Coda,M,563
2012,Cowboy,M,2994
2018,Craig Franklin,M,2758
2012,Croccie,M,3395
2014,Daisy,F,2200
2009,Danny,M,3606
2019,Danny Boy,M,2655
2011,Danny P,M,2992
2018,Dave'O',M,2800
2008,David Claudie,M,1943
2018,David Prior,M,3655
2015,David Zaslov,M,3226
2013,Dick Smith,M,3228
2019,Dinnage,M,3645
2016,Discovery,F,2755
2019,Doom,M,3980
2010,Dr Chris B,M,3285
2010,Drew,M,4335
2018,Elaine,F,875
2008,Eligh,M,2021
2014,Ella,F,2940
2014,Elsie,F,1362
2011,Emily,F,1828
2011,Enzo,M,2130
2012,Erin,F,2655
2015,Fifi,F,1130
2018,Fiona,F,2910
2008,Gecko,M,2130
2015,Gen N,M,3480
2017,George,M,4640
2013,Gertrude,F,1740
2015,Gladys,M,1217
2014,Gogo,F,2465
2009,Greg Coxeter,M,3150
2009,Greg Norman,M,3685
2010,Gregory,M,3060
2009,Hamish,M,3890
2011,Harley,M,2720
2012,Harrison,M,1969
2011,Hassa,F,3110
2014,Haylee,F,1345
2019,Hazel,,892
2013,Heath,M,1465
2010,Heather,F,2631
2018,Howie,,1030
2016,Hunter,M,3086
2009,Izzy Squizzy,F,2261
2008,Jackasaraus,M,4120
2019,Jamie,F,1710
2013,Jarrah,M,2618
2013,Jenny,F,2395
2017,Jimmy Fallon,M,4025
2015,JK,F,2930
2013,Joel,M,2248
2011,Joey Johns,M,1380
2016,John,M,1251
2010,Johnson,M,2750
2009,Joy,F,2899
2012,Juergen,M,4685
2019,June,,751
2008,Justin,M,2779
2008,Kaitlyn,F,2798
2009,Kate C,F,2392
2010,Kaya,F,3147
2010,Kelly,F,2586
2015,Kelsey,F,2205
2019,Kenj,M,994
2011,Kiki,F,2681
2014,Kirrhi,M,3580
2018,Kris,M,1804
2009,Larry,M,2431
2016,Larry Jr,M,1399
2009,Leanne,F,3029
2019,Lennie,M,937
2012,Leonard,M,2817
2019,Lil Dunchess,F,987
2014,Lily,F,1417
2011,Lockie,M,1180
2016,Loki,M,2757
2019,Lou,M,2865
2017,Luke Reavley,M,3170
2017,Luke Reavley,M,3170
2016,Madison,F,2713
2008,Mal Brough,M,2476
2015,Mal Brough,M,3382
2011,Marco,M,2422
2019,Mardi,F,2060
2010,Mariana,F,2640
2010,Marion,F,3000
2009,Mark,M,3108
2010,Matt,M,2110
2011,Maude,F,1280
2018,Mick Foley,M,2955
2010,Mitch,M,4286
2013,Morag,F,2110
2010,Morgan-Leigh,F,2948
2017,Natalia,F,1692
2013,Nate,M,3631
2018,Nick,M,2746
2009,Nicky One Eye,M,3698
2019,Nida,F,3107
2016,Nigel,M,2548
2014,Noah,M,2805
2009,Oriankuti,M,3233
2011,Ozemite,M,3300
2014,OzEsauce,M,3464
2012,Pat,F,2533
2016,Peita K,F,2165
2019,Penny,M,1210
2009,Peta,F,2912
2009,Peter Korotaev,M,2213
2008,Peter Overton,M,3580
2012,Pip,F,2430
2011,Prue,F,1285
2014,Rachel,F,2926
2009,Rahni,F,2097
2008,Raine,F,2615
2011,Rebecca,F,2699
2012,Reeba,F,2174
2009,RJ,M,2564
2008,Robert,M,3570
2011,Ross,M,3395
2010,Ryan,M,4505
2012,Sean Roach,M,4020
2011,Shadow,M,3665
2011,Shaza,F,1460
2012,Sheridan,F,2514
2011,Sophie,F,2475
2013,Stanley,M,2750
2018,Sudan,M,3121
2010,Suer,F,2020
2008,Taepithiggi,M,4287
2008,Tarlisha,F,3266
2018,TBA,M,3540
2018,Terri,F,1501
2010,Tide,M,1918
2014,Tiny Tim,M,3665
2019,Tobi,F,2753
2012,Toby,M,3123
2010,TRANS1,F,1655
2010,TRANS10,F,1900
2010,TRANS2,F,1300
2010,TRANS3,M,1530
2010,TRANS4,F,1280
2010,TRANS5,F,1680
2010,TRANS6,M,1000
2010,TRANS7,M,1370
2010,TRANS8,F,1730
2010,TRANS9,M,1270
2010,Trent,M,1890
2009,Troy,M,2417
2008,Ulysses,M,4071
2016,Waldo,M,3721
2012,Wenlock,F,1936
2008,Wesley,M,2892
2012,Wiskars,M,3110
2017,Yas,F,2680
2010,Zeke,M,3265
